"","Rank_1","Rank_2","Rank_3","Rank_4","Rank_5","Rank_6","Rank_7","Rank_8"
"OTU_3957","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39571","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39579","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39582","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39598","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3961","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39621","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39623","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39626","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39627","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39629","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39632","Root","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida",NA,NA,NA
"OTU_39635","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3964","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39647","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39653","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39662","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39680","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39681","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39682","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39695","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_3970","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39701","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39702","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39706","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39713","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39714","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39715","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_39717","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39718","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39719","Root","Eukaryota","Arthropoda","unclassified_Arthropoda",NA,NA,NA,NA
"OTU_39721","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39722","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39723","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39726","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_39727","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
